ID,ISBN,Автор,Артикул,Бумага,В продаже с,Вес,Возраст,Год издания,Год производства,Издательство,Иллюстраторы,Иллюстрации,Код товара,Место издания,Место производства,Название,Наличие,Обложка,Обрез,Описание,Перевод,Производитель,Размеры в мм (ДхШхВ),Рейтинг,Стикеры,Страниц,Тип обложки,Тираж,Тиснение,Формат,Футляр,Цена,Язык оригинала,Язык текста
703939,978-5-389-06010-4,Достоевский Ф. М.,А0000005015,,10.10.2013,485 гр.,,2013,,Азбука; Азбука-Аттикус,,,703939,СПб,,Бесы. Достоевский Ф. М.,True,/image/book/441/w259/i441345.jpg,,,,,200x130,0,,704,Твердый переплет,10000 экз.,,84х108 1/32,,,,русский
708413,978-5-389-06657-1,Достоевский Ф. М.,А0000006777,,07.11.2013,550 гр.,,2014,,Азбука; Азбука-Аттикус,,,708413,СПб,,Братья Карамазовы. Достоевский Ф. М.,True,/image/book/444/w259/i444390.jpg,,,,,200x130,0,,832,Твердый переплет,15000 экз.,,84х108 1/32,,,,русский
721246,978-5-17-082195-2,Лукьяненко С. В.,AST000000000144075,,21.01.2014,585 гр.,,2014,,АСТ,,,721246,Москва,,Глубина. Лукьяненко С. В.,True,/image/book/460/w259/i460247.jpg,,,,,200x130,0,,796,Твердый переплет,3000 экз.,,84х108 1/32,,,,русский
721423,978-5-389-06888-9,Достоевский Ф. М.,А0000007202,,22.01.2014,335 гр.,,2014,,Азбука; Азбука-Аттикус,,,721423,СПб,,Записки из Мертвого дома. Достоевский Ф. М.,True,/image/book/452/w259/i452079.jpg,,,,,200x130,0,,416,Твердый переплет,15000 экз.,,84х108 1/32,,,,русский
726985,978-5-389-07435-4,Роулинг Дж. К.,А0000007533,,21.02.2014,475 гр.,11 +,2014,,Махаон; Азбука-Аттикус,,,726985,Москва,,Гарри Поттер и Философский камень.,True,/image/book/454/w259/i454685.jpg,,,Спивак М.,,200x130,1,,432,Твердый переплет,35000 экз.,,84х108 1/32,,,английский,русский
734262,978-5-7827-0154-3,Достоевский Ф. М.,,,09.04.2014,3000 гр.,,2014,,,,,734262,Москва,,Братья Карамазовы. В 3 томах,True,/image/book/458/w259/i458910.jpg,,,,,200x145,0,,1343,Кожаный переплет,1000 экз.,,60х84 1/16,,,,русский
736390,978-5-389-07987-8,Роулинг Дж. К.,А0000007898,,21.04.2014,295 гр.,,2014,,Азбука; Азбука-Аттикус,,,736390,СПб,,Случайная вакансия.,True,/image/book/460/w259/i460122.jpg,,,Петрова Е.,,180x115,0,,608,Мягкая обложка,15000 экз.,,75х100 1/32,,,английский,русский
737035,978-5-389-07781-2,Роулинг Дж. К.,А0000007867,,25.04.2014,515 гр.,11 +,2014,,Махаон; Азбука-Аттикус,,,737035,Москва,,Гарри Поттер и Тайная комната.,True,/image/book/460/w259/i460421.jpg,,,Спивак М.,,200x130,0,,480,Твердый переплет,30000 экз.,,84х108 1/32,,,английский,русский
738931,5-02-028-255-3,Достоевский Ф. М.,17607,,07.05.2014,810 гр.,,1996,,Наука,,,738931,СПб,,Собрание сочинений. В 30 томах. Том 15. Письма 1834-1881. Достоевский Ф. М.,True,/image/book/461/w259/i461334.jpg,,,,,200x130,0,,862,Твердый переплет,18000 экз.,,84х108 1/32,,,,русский
739253,978-5-389-07838-3,Фицджеральд Ф. С.,А0000007941,,08.05.2014,235 гр.,,2014,,Азбука; Азбука-Аттикус,,,739253,СПб,,Прекрасные и проклятые. Фицджеральд Ф. С.,True,/image/book/461/w259/i461412.jpg,,,Щенникова В.,,180x115,0,,480,Мягкая обложка,7000 экз.,,75х100 1/32,,,английский,русский
747850,978-5-389-07788-1,Роулинг Дж. К.,А0000008337,,03.07.2014,560 гр.,11 +,2014,,Махаон; Азбука-Аттикус,,,747850,Москва,,Гарри Поттер и узник Азкабана.,True,/image/book/466/w259/i466300.jpg,,,Спивак М.,,200x130,0,,528,Твердый переплет,30000 экз.,,84х108 1/32,,,английский,русский
754387,978-5-17-087268-8,Фрай М.,AST000000000170254,,19.08.2014,420 гр.,,2014,,АСТ,,,754387,Москва,,Мастер ветров и закатов. Фрай М.,True,/image/book/471/w259/i471085.jpg,,,,,200x130,0,,384,Твердый переплет,33000 экз.,,84х108 1/32,,,,русский
755698,978-5-699-74295-0,Роллинс Дж.,ITD000000000343237,,26.08.2014,375 гр.,,2014,,Эксмо,,,755698,Москва,,Кровавое Евангелие. Роллинс Дж.,True,/image/book/472/w259/i472164.jpg,,,Вейсберг Ю.,,165x120,0,,800,Мягкая обложка,7000 экз.,,70х100 1/32,,,английский,русский
758869,978-5-389-08684-5,Фицджеральд Ф. С.,А0000008651,,11.09.2014,180 гр.,,2014,,Азбука; Азбука-Аттикус,,,758869,СПб,,Три часа между рейсами. Фицджеральд Ф. С.,True,/image/book/474/w259/i474122.jpg,,,Дорогокупля В.,,180x115,0,,368,Мягкая обложка,5000 экз.,,75х100 1/32,,,английский,русский
763253,978-5-389-07789-8,Роулинг Дж. К.,А0000008817,,08.10.2014,610 гр.,11 +,2015,,Махаон; Азбука-Аттикус,,,763253,Москва,,Гарри Поттер и Кубок Огня.,True,/image/book/477/w259/i477099.jpg,,,Спивак М.,,200x130,0,,704,Твердый переплет,30000 экз.,,84х108 1/32,,,английский,русский
764719,978-5-17-087266-4,Фрай М.,AST000000000173740,,18.10.2014,585 гр.,,2015,,АСТ,,,764719,Москва,,Чужак. Фрай М.,True,/image/book/478/w259/i478257.jpg,,,,,200x130,0,,640,Твердый переплет,5000 экз.,,84х108 1/32,,,,русский
769276,978-5-389-09042-2,Фицджеральд Ф. С.,А0000008943,,17.11.2014,380 гр.,,2015,,Азбука; Азбука-Аттикус,,,769276,СПб,,Последний магнат. Фицджеральд Ф. С.,True,/image/book/480/w259/i480711.jpg,,,Архангельская И.,,,0,,512,Твердый переплет,10000 экз.,,84х-108 1/32,,,английский,русский
774876,978-5-389-07790-4,Роулинг Дж. К.,А0000009046,,16.12.2014,765 гр.,11 +,2016,,Махаон; Азбука-Аттикус,,,774876,Москва,,Гарри Поттер и Орден Феникса.,True,/image/book/484/w259/i484331.jpg,,,Спивак М.,,200x130,0,,896,Твердый переплет,12000 экз.,,84х108 1/32,,,английский,русский
778271,978-5-17-088270-0,Фрай М.,ASE000000000702085,,17.01.2015,330 гр.,,2015,,АСТ,,,778271,Москва,,Темная сторона. Фрай М.,True,/image/book/486/w259/i486092.jpg,,,,,200x130,0,,352,Твердый переплет,4000 экз.,,84х108 1/32,,,,русский
782918,,Достоевский Ф. М.,,Офсетная,11.02.2015,8100 гр.,,1956,,,,,782918,"Москва, Ленинград",,Собрание сочинений. В 10 томах,True,/image/book/489/w259/i489022.jpg,Рисованный,,,,200x130,0,,,Кожаный переплет,,Углубленное тиснение (красочное плоскоуглубленное изображение),84х108 1/32,,,,русский
784919,978-5-389-09710-0,Достоевский Ф. М.,А0000009576,,24.02.2015,190 гр.,,2015,,Азбука; Азбука-Аттикус,,,784919,СПб,,Бедные люди. Достоевский Ф. М.,True,/image/book/490/w259/i490180.jpg,,,,,180x115,0,,384,Мягкая обложка,5000 экз.,,75х100 1/32,,,,русский
785577,978-5-17-087885-7,Достоевский Ф. М.,ASE000000000702015,,26.02.2015,300 гр.,,2015,,АСТ,,,785577,Москва,,Идиот. Достоевский Ф. М.,True,/image/book/490/w259/i490321.jpg,,,,,180x115,0,,640,Мягкая обложка,5000 экз.,,76х100 1/32,,,,русский
786398,978-5-389-07791-1,Роулинг Дж. К.,А0000009556,,02.03.2015,670 гр.,11 +,2015,,Азбука; Азбука-Аттикус,,,786398,СПб,,Гарри Поттер и Принц-полукровка.,True,/image/book/490/w259/i490575.jpg,,,Спивак М.,,200x130,0,,672,Твердый переплет,40000 экз.,,84х108 1/32,,,английский,русский
786593,978-5-17-088830-6,Фицджеральд Ф. С.,ASE000000000705144,,03.03.2015,190 гр.,,2015,,АСТ,,,786593,Москва,,Великий Гэтсби. Фицджеральд Ф. С.,True,/image/book/490/w259/i490661.jpg,,,Алукард С.,,180x115,0,,256,Мягкая обложка,7000 экз.,,76х100 1/32,,,английский,русский
791885,978-5-17-089303-4,Фрай М.,ASE000000000706698,,01.04.2015,385 гр.,,2015,,АСТ,,,791885,Москва,,"Ветры, ангелы и люди. Фрай М.",True,/image/book/493/w259/i493890.jpg,,,,,200x130,0,,416,Твердый переплет,4000 экз.,,84х108 1/32,,,,русский
794404,978-5-389-07792-8,Роулинг Дж. К.,А0000009817,,14.04.2015,695 гр.,11 +,2015,,Махаон; Азбука-Аттикус,,,794404,Москва,,Гарри Поттер и Дары Смерти.,True,/image/book/495/w259/i495208.jpg,,,Спивак М.,,200x130,0,,704,Твердый переплет,40000 экз.,,84х108 1/32,,,английский,русский
794704,978-5-17-090630-7,Достоевский Ф. М.,ASE000000000703427,,16.04.2015,335 гр.,,2015,,Эксмо,,,794704,Москва,,Преступление и наказание. Достоевский Ф. М.,True,/image/book/495/w259/i495426.jpg,,,,,180x115,0,,672,Мягкая обложка,5000 экз.,,76х100 1/32,,,,русский
795888,"978-5-17-089082-8,978-5-91045-753-3",Стругацкий А. Н.,ASE000000000705949,,24.04.2015,525 гр.,,2015,,Издательский дом Мещерякова; АСТ,Мигунов Евгений Тихонович,,795888,Москва,,"Понедельник начинается в субботу. Стругацкий А. Н., Стругацкий Б. Н.",True,/image/book/496/w259/i496339.jpg,,,,,200x130,0,,320,Твердый переплет,5000 экз.,,84х108 1/32,,,,русский
797517,978-5-17-088647-0,Стругацкий А. Н.,ASE000000000704438,,12.05.2015,175 гр.,,2015,,АСТ,,,797517,Москва,,"Пикник на обочине. Стругацкий А. Н., Стругацкий Б. Н.",True,/image/book/497/w259/i497681.jpg,,,,,180x115,0,,256,Мягкая обложка,5000 экз.,,76х100 1/32,,,,русский
798904,978-5-98015-051-8,Достоевский Ф. М.,70417,,21.05.2015,70 гр.,,2014,,БуКос,,,798904,Москва,,Маленький герой. Достоевский Ф. М.,True,/image/book/498/w259/i498640.jpg,,,,,76x53,0,,171,Твердый переплет с окрашенным обрезом + футляр,3000 экз.,,53х76 мм,,,,русский
799460,978-5-17-090334-4,Стругацкий А. Н.,ASE000000000709823,,26.05.2015,215 гр.,,2015,,АСТ,,,799460,Москва,,Понедельник начинается в субботу. Стругацкий А. Н.,True,/image/book/498/w259/i498998.jpg,,,,,180x115,0,,320,Мягкая обложка,5000 экз.,,76х100 1/32,,,,русский
802260,978-5-17-090413-6,Достоевский Ф. М.,ASE000000000710017,,11.06.2015,410 гр.,,2015,,АСТ,,,802260,Москва,,Бесы. Достоевский Ф. М.,True,/image/book/500/w259/i500422.jpg,,,,,180x115,0,,768,Мягкая обложка,5000 экз.,,76х100 1/32,,,,русский
804626,978-5-389-10002-2,Достоевский Ф. М.,А0000009960,,26.06.2015,130 гр.,,2015,,Азбука; Азбука-Аттикус,,,804626,СПб,,Село Степанчиково и его обитатели. Достоевский Ф. М.,True,/image/book/502/w259/i502426.jpg,,,,,180x115,0,,256,Мягкая обложка,5000 экз.,,75х100 1/32,,,,русский
806393,,Достоевский Ф. М.,,Офсетная,10.07.2015,375 гр.,,2013,,,,,806393,,,Братья Карамазовы,True,/image/book/503/w259/i503228.jpg,Рисованный,,,,,0,,1056,Кожаный переплет,,Углубленное тиснение (красочное плоскоуглубленное изображение),70х84 1/32,,,,русский
806394,,Достоевский Ф. М.,,Офсетная,10.07.2015,410 гр.,,2013,,,,,806394,,,Преступление и наказание. Идиот,True,/image/book/503/w259/i503230.jpg,Рисованный,,,,,0,,1376,Кожаный переплет,,Углубленное тиснение (красочное плоскоуглубленное изображение),70х84 1/32,,,,русский
806636,978-5-389-10130-2,Достоевский Ф. М.,А0000010149,,13.07.2015,135 гр.,,2015,,Азбука; Азбука-Аттикус,,,806636,СПб,,Вечный муж. Кроткая. Достоевский Ф. М.,True,/image/book/503/w259/i503371.jpg,,,,,180x115,0,,256,Мягкая обложка,5000 экз.,,75х100 1/32,,,,русский
807589,,Фицджеральд Ф. С.,,Офсетная,21.07.2015,380 гр.,,2014,,,,Без иллюстраций,807589,СПб,,Великий Гэтсби. Ночь нежна. Последний магнат. Рассказы,True,/image/book/504/w259/i504224.jpg,Рисованный,,Беспалова Л.,,,0,,1056,Кожаный переплет,,Углубленное тиснение (красочное плоскоуглубленное изображение),70х84 01/32,,,английский,русский
810961,978-5-17-092159-1,Стругацкий А. Н.,ASE000000000715318,,18.08.2015,190 гр.,,2015,,АСТ,,,810961,Москва,,"Трудно быть богом. Стругацкий А. Н., Стругацкий Б. Н.",True,/image/book/506/w259/i506312.jpg,,,,,180x115,0,,256,Мягкая обложка,7000 экз.,,76х100 1/32,,,,русский
815089,978-5-389-10472-3,Достоевский Ф. М.,А0000010433,,23.09.2015,310 гр.,,2015,,Азбука; Азбука-Аттикус,,,815089,СПб,,Идиот. Достоевский Ф. М.,True,/image/book/509/w259/i509096.jpg,,,,,180x115,0,,640,Мягкая обложка,5000 экз.,,75х100 1/32,,,,русский
815326,978-5-17-092672-5,Достоевский Ф. М.,ASE000000000716852,,25.09.2015,470 гр.,,2015,,АСТ,,,815326,Москва,,Братья Карамазовы. Достоевский Ф. М.,True,/image/book/509/w259/i509287.jpg,,,,,,0,,992,Мягкая обложка,5000 экз.,,76х100 1/16,,,,русский
815539,978-5-389-10473-0,Достоевский Ф. М.,А0000010432,,28.09.2015,295 гр.,,2015,,Азбука; Азбука-Аттикус,,,815539,СПб,,Подросток. Достоевский Ф. М.,True,/image/book/509/w259/i509460.jpg,,,,,180x115,0,,608,Мягкая обложка,3000 экз.,,75х100 1/32,,,,русский
817538,978-5-93898-535-3,Достоевский Ф. М.,,,14.10.2015,2970 гр.,,2015,,,,,817538,СПб,,Бесы. В 2 томах,True,/image/book/510/w259/i510690.jpg,,,,,240x170,0,,1056,Кожаный переплет (Cabra),800 экз.,,70х100 1/16,,,,русский
822072,978-5-93898-535-3,Достоевский Ф. М.,,,11.11.2015,3385 гр.,,2015,,,,,822072,СПб,,Бесы. В 2 томах,True,/image/book/513/w259/i513667.jpg,,,,,240x170,0,,1056,Кожаный переплет с золотым обрезом+футляр,100 экз.,,70х100 1/16,,,,русский
822220,978-5-17-094115-5,Фицджеральд Ф. С.,ASE000000000719926,,12.11.2015,290 гр.,,2015,,АСТ,,,822220,Москва,,Ночь нежна. Фицджеральд Ф. С.,True,/image/book/513/w259/i513738.jpg,,,Доронина И. Я.,,180x115,5,,480,Мягкая обложка,7000 экз.,,76х100 1/32,,,английский,русский
823300,978-5-17-092508-7,Фрай М.,ASE000000000716380,,19.11.2015,345 гр.,,2016,,АСТ,,,823300,Москва,,Сказки Старого Вильнюса. Фрай М.,True,/image/book/514/w259/i514554.jpg,,,,,200x130,0,,320,Твердый переплет+суперобложка,3500 экз.,,84х108 1/32,,,,русский
823303,978-5-17-092000-6,Глуховский Д. А.,ASE000000000714804,,19.11.2015,455 гр.,,2016,,АСТ,,,823303,Москва,,Сумерки. Глуховский Д. А.,True,/image/book/514/w259/i514551.jpg,,,,,215x170,0,,320,Твердый переплет,3000 экз.,,70х90 1/16,,,,русский
823305,978-5-17-093725-7,Достоевский Ф. М.,ASE000000000719503,,19.11.2015,270 гр.,,2015,,АСТ,,,823305,Москва,,Униженные и оскорбленные. Достоевский Ф. М.,True,/image/book/514/w259/i514555.jpg,,,,,180x115,0,,512,Мягкая обложка,5000 экз.,,76х100 1/32,,,,русский
834922,978-5-17-095180-2,Достоевский Ф. М.,ASE000000000720975,,09.02.2016,310 гр.,,2016,,АСТ,,,834922,Москва,,Подросток. Достоевский Ф. М.,True,/image/book/521/w259/i521786.jpg,,,,,180x115,0,,640,Мягкая обложка,5000 экз.,,76х100 1/32,,,,русский
839677,978-5-17-057752-1,Достоевский Ф. М.,AST000000000007709,,17.03.2016,555 гр.,,2016,,АСТ,,,839677,Москва,,Братья Карамазовы. Достоевский Ф. М.,True,/image/book/525/w259/i525132.jpg,,,,,200x130,0,,781,Твердый переплет,2000 экз.,,84х108 1/32,,,,русский
842009,978-5-17-096331-7,Стругацкий А. Н.,ASE000000000722158,,02.04.2016,200 гр.,,2016,,АСТ,,,842009,Москва,,"За миллиард лет до конца света. Стругацкий А. Н., Стругацкий Б. Н.",True,/image/book/526/w259/i526727.jpg,,,,,180x115,0,,256,Мягкая обложка,7000 экз.,,76х100 1/32,,,,русский
846067,978-5-389-10818-9,Роулинг Дж. К.,А0000011391,,04.05.2016,13003 гр.,15 +,2016,,Махаон; Азбука-Аттикус,Кей Джим,,846067,Москва,,Гарри Поттер и философский камень.,True,/image/book/530/w259/i530477.jpg,,,Спивак М. В.,,290x247,0,,248,Твердый переплет+суперобложка,17000 экз.,,60х100 1/8,,,английский,русский
846132,978-5-389-10668-0,Роулинг Дж. К.,А0000010565,,04.05.2016,4630 гр.,6 +,2016,,Махаон; Азбука-Аттикус,,,846132,Москва,,Гарри Поттер. Полное собрание. Комплект из 7 книг.,True,/image/book/530/w259/i530501.jpg,,,Спивак М.,,200x130,0,,4416,Твердый переплет+коробка,,,130х200 мм,,,английский,русский
849349,978-5-17-097018-6,Достоевский Ф. М.,ASE000000000723026,,31.05.2016,215 гр.,,2016,,АСТ,,,849349,Москва,,Записки из подполья. Достоевский Ф. М.,True,/image/book/533/w259/i533674.jpg,,,,,180x115,0,,352,Мягкая обложка,5000 экз.,,76х100 1/32,,,,русский
850935,978-5-17-098088-8,Фрай М.,ASE000000000724248,,16.06.2016,392 гр.,,2016,,АСТ,,,850935,Москва,,Жалобная книга. Фрай М.,True,/image/book/535/w259/i535621.jpg,,,,,200x130,0,,416,Твердый переплет,4000 экз.,,84x108 1/32,,,,русский
859290,978-5-17-099711-4,Достоевский Ф. М.,ASE000000000826111,,15.09.2016,295 гр.,12 +,2016,,АСТ,,,859290,Москва,,Записки из Мертвого дома. Достоевский Ф. М.,True,/image/book/542/w259/i542589.jpg,,,,,180x115,0,,448,Мягкая обложка,5000 экз.,,76х100 1/32,,,,русский
865083,978-5-389-11558-3,Роулинг Дж. К.,А0000012473,,31.10.2016,1365 гр.,13 +,2016,,Азбука; Азбука-Аттикус,Кей Джим,,865083,Москва,,Гарри Поттер и Тайная комната.,True,/image/book/546/w259/i546839.jpg,,,,,290x247,0,,260,Твердый переплет+суперобложка,10000 экз.,,60х100 1/8,,,английский,русский
865224,978-5-93898-159-1,Достоевский Ф. М.,,Мелованная,01.11.2016,2625 гр.,,2007,,,,С иллюстрациями,865224,СПб,,Преступление и наказание. В 2 томах,True,/image/book/547/w259/i547058.jpg,Золотой,,,,240x170,0,,624,Кожаный переплет+футляр,100 экз.,Углубленное тиснение (красочное плоскоуглубленное изображение),70х100 1/16,Вставной,,,русский
873080,978-5-17-101557-2,Глуховский Д. А.,ASE000000000828054,,25.12.2016,1305 гр.,,2017,,АСТ,,,873080,Москва,,Метро 2033. Метро 2034. Метро 2035. Глуховский Д. А.,True,/image/book/552/w259/i552835.jpg,,,,,260x205,5,Идея подарка,848,Твердый переплет,2500 экз.,,84х108 1/16,,,,русский
880701,978-5-00111-004-0,Хантер Э.,178181,,16.03.2017,340 гр.,11 +,2017,,Абрис,Насыров Леонид Хамидович,,880701,СПб,,Бушующая стихия. Хантер Э.,True,/image/book/559/w259/i559614.jpg,,,Максимова В.,,200x130,0,,315,Твердый переплет,4000 экз.,,84х108 1/32,,,английский,русский
880702,978-5-00111-020-0,Хантер Э.,178184,,16.03.2017,340 гр.,11 +,2017,,Абрис,Насыров Леонид Хамидович,,880702,СПб,,Огонь и лед. Хантер Э.,True,/image/book/559/w259/i559613.jpg,,,Максимова В.,,200x130,0,,317,Твердый переплет,4000 экз.,,84х108 1/32,,,английский,русский
883589,,Достоевский Ф. М.,,,12.04.2017,4880 гр.,,2013,,,,,883589,СПб,,Братья Карамазовы. В 2 томах,True,/image/book/562/w259/i562080.jpg,,,,,240x170,0,,1312,Твердый переплет,,,70х100 1/16,Вставной,,,русский
884205,978-5-17-103090-2,Достоевский Ф. М.,ASE000000000829671,,18.04.2017,160 гр.,,2017,,АСТ,,,884205,Москва,,Игрок. Достоевский Ф. М.,True,/image/book/562/w259/i562463.jpg,,,,,180x115,0,,224,Мягкая обложка,5000 экз.,,76х100 1/32,,,,русский
